Player,Pos,Conf_Major,NCAA_AdjTempo,NCAA_AdjOE,NCAA_AdjDE,NCAA_TeamID,NCAA_Year,NCAA_GP,NCAA_GS,NCAA_MIN_PG,NCAA_FGpct_PG,NCAA_3PM_PG,NCAA_3Ppct_PG,NCAA_FTM_PG,NCAA_FTpct_PG,NCAA_OFF_PG,NCAA_DEF_PG,NCAA_AST_PG,NCAA_STL_PG,NCAA_BLK_PG,NCAA_PF_PG,NCAA_TOV_PG,NCAA_PTS_PG,NCAA_DblDbl,NCAA_TplDbl,NCAA_HOB,NCAA_Ast_TO,NCAA_Stl_TO,NCAA_FT_FGA,NCAA_W,NCAA_L,NCAA_Winpct,NCAA_OWS,NCAA_DWS,NCAA_WS,NCAA_TSpct,NCAA_eFGpct,NCAA_USGpct,NCAA_TotalSpct,NCAA_PPR,NCAA_PPS,NCAA_ORtg,NCAA_DRtg,NCAA_PER,Height,Weight,Wingspan,NCAASeasons,AgeAtDraft,HighestLevelReached,NBA_OWS,NBA_DWS,NBA_WS,NBA_PER
Shaquille-Morris,2,2,68.55,120.96,101.94,206,2018,33,29,23.7,0.553,0.55,0.391,2.76,0.728,1.67,3.94,1.33,0.55,1.55,2.42,1.45,13.97,3,0,0.23,0.92,0.38,0.39,25,8,0.758,2.82,1.44,4.26,0.611,0.582,26.5,167.28,2.38,1.45,121.9,97.7,25.19,80,279,85.5,5,24.26830938,Prospect,NA,NA,NA,NA
Chandler-Hutchison,1,2,68.83,109.86,96.95,340,2018,31,30,31,0.475,1.48,0.359,5.26,0.728,0.87,6.81,3.45,1.48,0.26,2.39,3.35,19.97,12,1,0.364,1.03,0.44,0.52,22,9,0.71,2.92,2.19,5.11,0.575,0.528,33.16,156.16,3.36,1.43,110.8,93.1,24.81,79,197,85,4,22.0971937,Prospect,NA,NA,NA,NA
Brandon-McCoy,3,2,72.33,111.38,104.94,212,2018,33,33,28.8,0.545,0.09,0.333,4.24,0.725,3.12,7.21,0.52,0.45,1.82,2.64,2.64,16.94,18,0,0.23,0.2,0.17,0.51,20,13,0.606,2.55,1.63,4.18,0.59,0.548,27.54,160.32,7.57,1.46,112.4,98.9,23.83,83,245,86.25,1,19.97262149,Prospect,NA,NA,NA,NA
Koby-McEwen,1,2,66.6,106.87,104.46,348,2017,32,31,30.9,0.462,1.84,0.418,4.09,0.724,0.5,4.56,3.12,0.75,0.34,2.81,2.66,14.69,0,0,0.29,1.18,0.28,0.6,15,17,0.469,2.33,1.38,3.71,0.604,0.559,24.8,160.42,1.89,1.55,111.1,101.8,17.99,76,200,78,2,20.84052019,Prospect,NA,NA,NA,NA
Jaylen-Barford,1,1,69.68,116.35,101.65,254,2018,35,35,31.3,0.47,2.49,0.431,2.66,0.721,1,2.91,2.54,1,0.29,2.51,1.91,17.94,2,0,0.311,1.33,0.52,0.27,23,12,0.657,3.4,0.97,4.37,0.583,0.561,27.19,162.12,0.69,1.32,116.3,107.6,20.74,75,202,76,2,22.35455168,Prospect,NA,NA,NA,NA
Kaleb-Wesson,3,1,66.98,116.02,94.86,103,2018,33,30,20.7,0.562,0.12,0.286,2.97,0.721,2.3,2.64,1.09,0.55,0.64,2.82,1.03,10.24,1,0,0.167,1.06,0.53,0.65,24,9,0.727,2.8,1.17,3.97,0.615,0.571,23.33,156.82,1.51,1.61,128,98.9,23.97,81,280,86,1,18.84188912,Prospect,NA,NA,NA,NA
Nick-Richards,3,1,68.76,115.81,95.36,258,2018,37,37,14.7,0.616,0,0,1.38,0.718,1.51,2.92,0.24,0.08,0.89,2.05,0.7,5.11,1,0,0.078,0.35,0.12,0.63,26,11,0.703,1.44,0.96,2.41,0.648,0.616,15.47,133.44,3.7,1.69,126.6,98.3,18.67,83,240,87.75,1,20.50376454,Prospect,NA,NA,NA,NA
DJ-Hogg,2,1,69.5,111.35,94.39,61,2018,32,31,30.9,0.41,2.03,0.378,1.59,0.718,1.16,4.12,2.62,0.84,0.88,2.09,1.62,11.06,2,0,0.226,1.62,0.52,0.24,21,11,0.656,1.81,1.63,3.43,0.547,0.522,18.32,150.66,0.4,1.22,112.4,99.6,15.26,81,215,82.5,3,21.7412731,Prospect,NA,NA,NA,NA
Zhaire-Smith,1,1,66.72,113.34,90.75,62,2018,37,21,28.4,0.556,0.49,0.45,2.46,0.717,2.24,2.76,1.76,1.14,1.05,1.81,1.11,11.27,0,0,0.227,1.59,1.02,0.46,27,10,0.73,3.45,2.26,5.71,0.618,0.588,18.24,172.25,0.23,1.51,129,94.4,21.38,77,195,82,1,18.99247091,Prospect,NA,NA,NA,NA
Silvio-De-Sousa,3,1,68.76,120.85,97.36,54,2018,20,0,8.8,0.681,0,0,0.75,0.714,1.65,2.05,0.2,0.05,0.15,1.65,0.9,3.95,1,0,0.063,0.22,0.06,0.45,15,5,0.75,0.55,0.22,0.77,0.693,0.681,21.75,139.51,8.86,1.68,119.9,103.6,21.67,80,220,82,1,19.6495551,Prospect,NA,NA,NA,NA
