Player,Pos,Conf_Major,NCAA_AdjTempo,NCAA_AdjOE,NCAA_AdjDE,NCAA_TeamID,NCAA_Year,NCAA_GP,NCAA_GS,NCAA_MIN_PG,NCAA_FGpct_PG,NCAA_3PM_PG,NCAA_3Ppct_PG,NCAA_FTM_PG,NCAA_FTpct_PG,NCAA_OFF_PG,NCAA_DEF_PG,NCAA_AST_PG,NCAA_STL_PG,NCAA_BLK_PG,NCAA_PF_PG,NCAA_TOV_PG,NCAA_PTS_PG,NCAA_DblDbl,NCAA_TplDbl,NCAA_HOB,NCAA_Ast_TO,NCAA_Stl_TO,NCAA_FT_FGA,NCAA_W,NCAA_L,NCAA_Winpct,NCAA_OWS,NCAA_DWS,NCAA_WS,NCAA_TSpct,NCAA_eFGpct,NCAA_USGpct,NCAA_TotalSpct,NCAA_PPR,NCAA_PPS,NCAA_ORtg,NCAA_DRtg,NCAA_PER,Height,Weight,Wingspan,NCAASeasons,AgeAtDraft,HighestLevelReached,NBA_OWS,NBA_DWS,NBA_WS,NBA_PER
Andre-Barrett,1,1,65.42,112.32,94.97,73,2004,31,31,36.1,0.452,2.35,0.384,2.87,0.761,0.87,3,5.9,1.42,0.1,2,2.65,17.29,3,0,0.457,2.23,0.54,0.3,21,10,0.677,3.7,1.82,5.52,0.599,0.545,24.64,159.64,3.61,1.37,118.8,101.1,21.47,70,173,73,4,22.275154,NBA,0.22,0.42,0.46,19.4
Stefon-Jackson,1,2,70.52,108.21,98.37,308,2009,37,37,36.1,0.427,0.86,0.308,8.43,0.834,1.65,3.76,1.92,1.05,0.11,2.7,2.11,24.54,2,0,0.379,0.91,0.5,0.57,23,14,0.622,5.29,1.59,6.87,0.542,0.452,32.64,156.92,2.15,1.38,115.7,103,24.07,77,185,77,4,24.06844627,International,0,0,0,0
Jordan-Theodore,1,1,64.77,106.74,94.56,73,2012,34,34,36.1,0.389,1.29,0.319,4.41,0.824,0.82,2.26,6.56,1.79,0.06,1.97,2.94,16.06,7,0,0.479,2.23,0.61,0.4,21,13,0.618,3.85,1.58,5.42,0.506,0.437,27.08,153.15,4.08,1.21,109,98.2,20.15,73,175,76,4,22.47227926,International,0,0,0,0
Jahsha-Bluntt,1,2,54.48,106.53,110.69,188,2007,34,34,36.1,0.422,2.32,0.35,3.24,0.821,1.68,3.21,1.56,1.18,0.18,2.32,1.97,15.5,0,0,0.312,0.79,0.6,0.34,21,13,0.618,3.87,1.12,4.99,0.568,0.521,26.02,159.3,3.1,1.32,116.3,106.5,20.62,78,220,79.25,4,22.95687885,International,0,0,0,0
Carl-Krauser,1,1,59.7,114.12,88.21,70,2004,32,32,36.1,0.406,1.5,0.333,4.34,0.777,0.84,4.03,4.53,1.62,0.06,2.47,3,15.41,0,0,0.372,1.51,0.54,0.47,27,5,0.844,2.72,3.12,5.84,0.534,0.469,26.13,151.57,0.06,1.31,109.9,90.1,19.66,74,200,78.25,4,25.0513347,International,0,0,0,0
Dwight-Lewis,1,1,63.7,110.02,91.76,242,2009,33,32,36.1,0.403,1.67,0.379,2.79,0.748,0.76,2.55,2.09,1.12,0.15,2.03,2.45,14.39,0,0,0.28,0.85,0.46,0.3,21,12,0.636,1.83,1.6,3.43,0.51,0.471,23.95,153.02,3.01,1.17,103.3,101.4,13.98,78,215,78.5,4,22.65023956,International,0,0,0,0
Corey-Petros,3,2,66.5,111.37,111.31,313,2015,33,33,36.1,0.602,0,0,2.09,0.463,3.27,4.97,2,0.52,0.3,2.64,1.52,14.27,10,0,0.312,1.32,0.34,0.45,16,17,0.485,3.44,0.33,3.77,0.582,0.602,19.84,106.49,0.49,1.41,119.3,111.8,19.03,82,260,85,5,22.6146475,International,0,0,0,0
Steven-Smith,3,2,64.34,107.28,99.84,20,2006,28,27,36,0.486,0.93,0.338,3.89,0.773,2.11,5.79,2.46,1.14,0.82,2.57,3.57,19.68,7,0,0.403,0.69,0.32,0.33,18,10,0.643,2.55,1.85,4.4,0.557,0.516,30.97,159.67,5.53,1.29,107,96.9,22.38,81,255,84.5,4,23.137577,NBA,0.13,0,0.12,1.88
Vincent-Grier,2,1,67.33,103.97,89.91,101,2005,32,30,36,0.471,0.41,0.25,5.03,0.739,1.41,4.16,2.44,1.97,0.22,1.94,2.66,17.94,2,0,0.361,0.92,0.74,0.51,21,11,0.656,2.44,2.88,5.31,0.543,0.486,27.13,145.91,2.78,1.35,109.8,93,19.8,77,207,82.75,3,23.21697467,International,0,0,0,0
Kevin-Durant,2,1,67.6,119.51,100.27,60,2007,35,35,35.9,0.472,2.34,0.404,5.97,0.816,3.03,8.11,1.31,1.89,1.91,2.03,2.83,25.8,20,0,0.366,0.46,0.67,0.4,25,10,0.714,5.83,2.92,8.75,0.587,0.535,33.25,169.26,5.23,1.39,120.3,92.3,32.71,81,240,88.75,1,18.66940452,NBA,19.64,8.32,27.98,52.46
